iter	Passed	Remaining
430	1658	2189
431	1662	2186
432	1666	2181
433	1669	2177
434	1673	2173
435	1677	2169
436	1681	2165
437	1685	2162
438	1688	2158
439	1692	2154
440	1696	2150
441	1700	2146
442	1704	2142
443	1708	2138
444	1711	2134
445	1715	2130
446	1719	2126
447	1722	2122
448	1726	2119
449	1730	2115
450	1734	2111
451	1737	2107
452	1741	2103
453	1745	2098
454	1748	2094
455	1752	2090
456	1755	2086
457	1759	2082
458	1763	2078
459	1766	2073
460	1769	2069
461	1773	2065
462	1776	2060
463	1780	2057
464	1784	2053
465	1788	2049
466	1791	2045
467	1794	2040
468	1798	2036
469	1802	2032
470	1806	2029
471	1810	2025
472	1814	2021
473	1817	2017
474	1821	2013
475	1825	2009
476	1828	2004
477	1832	2001
478	1836	1997
479	1839	1993
480	1843	1989
481	1847	1985
482	1850	1981
483	1854	1976
484	1858	1972
485	1861	1969
486	1865	1965
487	1869	1961
488	1873	1957
489	1876	1953
490	1880	1949
491	1884	1945
492	1887	1941
493	1891	1937
494	1894	1933
495	1898	1929
496	1902	1925
497	1907	1922
498	1911	1918
499	1914	1914
500	1918	1910
501	1921	1906
502	1925	1902
503	1928	1898
504	1932	1894
505	1936	1890
506	1940	1886
507	1943	1882
508	1948	1879
509	1952	1875
510	1955	1871
511	1959	1867
512	1963	1863
513	1966	1859
514	1970	1855
515	1974	1851
516	1978	1847
517	1981	1844
518	1985	1840
519	1989	1836
520	1992	1832
521	1996	1828
522	2000	1824
523	2003	1820
524	2007	1816
525	2011	1812
526	2015	1808
527	2018	1804
528	2022	1800
529	2026	1797
530	2029	1792
531	2033	1788
532	2036	1784
533	2040	1780
534	2043	1776
535	2047	1772
536	2050	1768
537	2054	1764
538	2058	1760
539	2062	1756
540	2065	1752
541	2069	1748
542	2074	1745
543	2078	1742
544	2082	1738
545	2086	1734
546	2090	1731
547	2094	1727
548	2097	1723
549	2101	1719
550	2105	1715
551	2109	1711
552	2112	1707
553	2117	1704
554	2121	1700
555	2124	1696
556	2128	1692
557	2132	1688
558	2135	1684
559	2139	1680
560	2142	1676
561	2146	1672
562	2149	1668
563	2153	1664
564	2157	1661
565	2160	1656
566	2164	1652
567	2168	1649
568	2172	1645
569	2175	1641
570	2179	1637
571	2183	1633
572	2186	1629
573	2190	1625
574	2194	1621
575	2197	1617
576	2201	1613
577	2204	1609
578	2208	1605
579	2211	1601
580	2215	1598
581	2219	1593
582	2223	1590
583	2226	1586
584	2230	1582
585	2233	1578
586	2237	1574
587	2241	1570
588	2244	1566
589	2248	1562
590	2252	1558
591	2256	1555
592	2259	1550
593	2263	1547
594	2266	1543
595	2270	1539
596	2274	1535
597	2278	1531
598	2282	1527
599	2285	1523
600	2289	1519
601	2293	1516
602	2297	1512
603	2300	1508
604	2304	1504
605	2308	1500
606	2311	1496
607	2315	1493
608	2319	1489
609	2323	1485
610	2326	1481
611	2329	1477
612	2333	1473
613	2337	1469
614	2341	1465
615	2345	1461
616	2348	1457
617	2352	1453
618	2356	1450
619	2359	1446
620	2363	1442
621	2366	1438
